CH1,CH2,CH3,Start,Increment,
Volt,Volt,Volt,-5.995,0.01
4.172,4.196,0.04,
4.148,4.18,0.16,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.172,4.18,0.04,
4.148,4.196,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.172,4.196,0.12,
4.156,4.18,0.04,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.156,4.196,0.16,
4.172,4.18,0.04,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.156,4.196,0.04,
4.172,4.18,0.12,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.172,4.18,0.04,
4.156,4.196,0.16,
4.172,4.18,0.04,
4.148,4.196,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.172,4.196,0.16,
4.148,4.18,0.04,
4.156,4.18,0.04,
4.172,4.196,0.12,
4.156,4.196,0.12,
4.172,4.18,0.04,
4.172,4.196,0.16,
4.148,4.18,0.04,
4.172,4.18,0.16,
4.148,4.196,0.04,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.172,4.196,0.12,
4.148,4.18,0.04,
4.148,4.196,0.04,
4.172,4.18,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.172,4.196,0.12,
4.148,4.18,0.04,
4.172,4.196,0.04,
4.156,4.172,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.156,4.196,0.16,
4.172,4.18,0.04,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.148,4.18,0.04,
4.172,4.196,0.16,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.172,4.196,0.16,
4.148,4.18,0.04,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.148,4.196,0.04,
4.172,4.18,0.12,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.172,4.196,0.16,
4.148,4.18,0.04,
4.172,4.18,0.04,
4.156,4.196,0.16,
4.156,4.196,0.16,
4.172,4.18,0.04,
4.172,4.196,0.16,
4.148,4.18,0.04,
4.156,4.18,0.04,
4.172,4.196,0.16,
4.172,4.18,0.04,
4.148,4.196,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.156,4.18,0.16,
4.172,4.196,0.04,
4.148,4.18,0.12,
4.172,4.196,0.04,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.172,4.196,0.16,
4.148,4.18,0.04,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.172,4.212,0.04,
4.156,4.18,0.16,
4.172,4.196,0.16,
4.148,4.18,0.04,
4.156,4.196,0.04,
4.172,4.18,0.16,
4.172,4.196,0.16,
4.156,4.18,0.04,
4.172,4.196,0.12,
4.156,4.18,0.04,
4.172,4.18,0.04,
4.156,4.196,0.16,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.172,4.196,0.12,
4.156,4.18,0.04,
4.156,4.196,0.12,
4.172,4.18,0.04,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.156,4.196,0.12,
4.172,4.18,0.04,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.156,4.196,0.12,
4.172,4.18,0.04,
4.148,4.18,0.04,
4.172,4.196,0.16,
4.172,4.18,0.04,
4.156,4.196,0.16,
4.172,4.18,0.04,
4.148,4.196,0.16,
4.172,4.172,0.12,
4.148,4.196,0.04,
4.156,4.196,0.16,
4.172,4.18,0.04,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.124,4.196,0.04,
4.172,4.18,0.16,
4.172,4.196,0.16,
4.148,4.18,0.04,
4.156,4.18,0.04,
4.172,4.196,0.16,
4.172,4.196,0.04,
4.156,4.18,0.16,
4.172,4.196,0.16,
4.148,4.18,0.04,
4.156,4.18,0.16,
4.172,4.196,0.04,
4.172,4.196,0.04,
4.148,4.18,0.16,
4.172,4.196,0.04,
4.148,4.18,0.12,
4.172,4.196,0.16,
4.156,4.18,0.04,
4.148,4.196,0.04,
4.172,4.18,0.16,
4.156,4.18,0.04,
4.172,4.196,3.44,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.156,4.196,3.36,
4.172,4.18,3.44,
4.156,4.196,3.36,
4.172,4.172,3.44,
4.156,4.196,3.36,
4.172,4.172,3.44,
4.172,4.18,3.36,
4.156,4.196,3.44,
4.172,4.18,3.44,
4.14,4.196,3.32,
4.172,4.18,3.36,
4.148,4.196,3.44,
4.156,4.196,3.44,
4.172,4.18,3.32,
4.148,4.18,3.36,
4.172,4.196,3.44,
4.156,4.18,3.44,
4.172,4.196,3.32,
4.172,4.196,3.44,
4.148,4.172,3.36,
4.172,4.18,3.44,
4.156,4.196,3.32,
4.156,4.196,3.36,
4.172,4.18,3.44,
4.172,4.196,3.44,
4.132,4.18,3.32,
4.156,4.196,3.36,
4.172,4.18,3.44,
4.172,4.18,3.44,
4.148,4.196,3.32,
4.156,4.18,3.44,
4.172,4.196,3.36,
4.172,4.18,3.36,
4.148,4.196,3.44,
4.172,4.18,3.32,
4.148,4.196,3.44,
4.156,4.18,3.36,
4.172,4.196,3.44,
4.172,4.196,3.44,
4.148,4.18,3.36,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.156,4.196,3.44,
4.172,4.18,3.36,
4.172,4.196,3.36,
4.148,4.18,3.44,
4.156,4.196,3.44,
4.172,4.18,3.36,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.172,4.18,3.36,
4.156,4.196,3.44,
4.156,4.196,3.36,
4.172,4.18,3.44,
4.172,4.18,3.44,
4.148,4.196,3.32,
4.156,4.196,3.36,
4.172,4.172,3.44,
4.172,4.18,3.36,
4.148,4.196,3.44,
4.172,4.196,3.44,
4.148,4.18,3.36,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.172,4.196,3.36,
4.148,4.18,3.44,
4.156,4.196,3.44,
4.172,4.18,3.36,
4.172,4.18,3.32,
4.148,4.196,3.44,
4.172,4.18,3.44,
4.156,4.196,3.36,
4.172,4.196,3.36,
4.156,4.18,3.44,
4.172,4.196,3.44,
4.148,4.18,3.36,
4.148,4.196,3.44,
4.172,4.164,3.36,
4.172,4.18,3.36,
4.156,4.196,3.44,
4.172,4.18,3.36,
4.148,4.196,3.44,
4.172,4.196,3.36,
4.108,4.18,3.44,
4.148,4.18,3.36,
4.172,4.196,3.44,
4.148,4.196,3.36,
4.172,4.18,3.44,
4.172,4.18,3.44,
4.148,4.196,3.32,
4.172,4.18,3.44,
4.148,4.196,3.32,
4.156,4.18,3.36,
4.172,4.196,3.44,
4.148,4.196,3.36,
4.172,4.18,3.44,
4.148,4.196,3.44,
4.172,4.18,3.32,
4.172,4.196,3.44,
4.148,4.18,3.36,
4.156,4.196,3.44,
4.172,4.18,3.36,
4.172,4.196,3.44,
4.156,4.18,3.36,
4.172,4.18,3.36,
4.148,4.196,3.44,
4.148,4.18,3.36,
4.172,4.196,3.44,
4.172,4.196,3.36,
4.148,4.18,3.44,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.156,4.18,3.36,
4.172,4.196,3.44,
4.148,4.196,3.44,
4.172,4.18,3.32,
4.172,4.18,3.32,
4.156,4.196,3.44,
4.172,4.18,3.44,
4.148,4.196,3.36,
4.156,4.196,3.36,
4.172,4.18,3.44,
4.156,4.196,3.36,
4.172,4.18,3.44,
4.156,4.196,3.44,
4.172,4.18,3.36,
4.172,4.196,3.36,
4.156,4.18,3.44,
4.172,4.196,3.44,
4.148,4.18,3.36,
4.172,4.204,3.36,
4.148,4.172,3.44,
4.156,4.156,3.44,
4.172,4.204,3.32,
4.156,4.212,3.36,
4.172,4.18,3.44,
4.172,4.196,3.44,
4.14,4.18,3.32,
4.124,4.196,3.36,
4.18,4.156,3.44,
4.172,4.164,3.36,
4.156,4.196,3.44,
4.172,4.196,3.44,
4.156,4.18,3.32,
4.172,4.196,3.44,
4.124,4.18,3.32,
4.124,4.196,3.44,
4.172,4.18,3.36,
4.172,4.196,3.44,
4.156,4.18,3.32,
4.172,4.196,3.36,
4.156,4.18,3.44,
4.172,4.196,3.36,
4.148,4.18,3.44,
4.172,4.196,3.36,
4.148,4.18,3.44,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.148,4.196,3.44,
4.172,4.18,3.36,
4.172,4.196,3.44,
4.148,4.18,3.36,
4.172,4.18,3.44,
4.156,4.196,3.36,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.172,4.18,3.44,
4.156,4.196,3.36,
4.172,4.196,3.36,
4.148,4.18,3.44,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.156,4.196,3.44,
4.172,4.18,3.36,
4.172,4.18,3.36,
4.148,4.196,3.44,
4.148,4.196,3.44,
4.172,4.18,3.32,
4.172,4.196,3.36,
4.148,4.18,3.44,
4.172,4.18,3.36,
4.148,4.196,3.44,
4.172,4.196,3.44,
4.156,4.18,3.36,
4.156,4.196,3.44,
4.172,4.18,3.32,
4.172,4.196,3.44,
4.156,4.18,3.36,
4.172,4.18,3.36,
4.148,4.196,3.44,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.156,4.18,3.44,
4.172,4.196,3.32,
4.148,4.196,3.36,
4.172,4.18,3.44,
4.172,4.196,3.44,
4.148,4.18,3.32,
4.156,4.196,3.36,
4.172,4.116,3.44,
4.172,4.164,3.44,
4.148,4.132,3.36,
4.172,4.116,3.36,
4.148,4.172,3.44,
4.172,4.124,3.44,
4.044,4.196,3.36,
4.076,4.148,3.44,
4.116,4.164,3.36,
4.116,4.092,3.36,
4.06,4.172,3.44,
4.06,4.148,3.44,
4.148,4.172,3.36,
4.1,4.172,3.36,
4.116,4.148,3.44,
4.012,4.148,3.36,
4.116,4.172,3.44,
4.116,4.148,3.44,
4.076,4.164,3.36,
4.116,4.148,3.36,
4.092,4.164,3.44,
4.116,4.148,3.36,
4.092,4.172,3.44,
4.092,4.148,3.44,
4.116,4.172,3.36,
4.092,4.172,3.44,
4.116,4.132,3.36,
4.092,4.204,3.36,
4.116,4.124,3.44,
4.116,4.164,3.44,
4.092,4.1,3.36,
4.06,4.124,3.44,
4.14,4.148,3.32,
4.172,4.156,3.36,
4.052,4.124,3.44,
4.116,4.132,3.44,
4.012,4.156,3.36,
4.044,4.132,3.36,
4.076,4.156,3.44,
4.084,4.156,3.44,
4.06,4.116,3.32,
4.084,4.156,3.36,
4.06,4.132,3.48,
4.084,4.1,3.4,
4.068,4.156,3.44,
4.084,4.116,3.4,
4.036,4.18,3.48,
4.068,4.196,3.4,
4.084,3.452,3.44,
4.084,3.572,3.4,
4.02,3.636,3.48,
4.036,3.62,3.4,
4.124,3.66,3.48,
4.14,3.644,3.4,
2.948,3.66,3.48,
3.06,3.668,3.4,
3.132,3.644,3.48,
3.124,3.652,3.4,
3.156,3.668,3.48,
3.14,3.652,3.44,
