CH1,CH2,CH3,Start,Increment,
Volt,Volt,Volt,-29.975,0.05
4.156,4.188,0.08,
4.188,4.204,0,
4.164,4.204,0,
4.188,4.188,0.08,
4.164,4.204,0.08,
4.188,4.188,0,
4.164,4.204,0.08,
4.188,4.188,0,
4.188,4.204,0.08,
4.164,4.188,0,
4.188,4.188,0.08,
4.164,4.22,0,
4.164,4.188,0.08,
4.188,4.22,0,
4.188,4.204,0.08,
4.164,4.188,0,
4.188,4.22,0.08,
4.164,4.188,0,
4.164,4.204,0.08,
4.188,4.188,0,
4.164,4.188,0.08,
4.188,4.204,0,
4.18,4.204,0,
4.156,4.188,0.08,
4.156,4.188,0.08,
4.172,4.204,0,
4.172,4.196,0.08,
4.156,4.18,0,
4.156,4.204,0,
4.172,4.18,0.08,
4.172,4.204,0.08,
4.156,4.188,0,
4.156,4.188,0.08,
4.172,4.204,0,
4.172,4.18,0.08,
4.156,4.204,0,
4.06,4.132,0.08,
4.18,4.212,0,
4.188,4.204,0.08,
4.052,4.116,0,
4.188,4.204,0.08,
4.02,4.116,0,
4.076,4.164,0.08,
4.092,4.14,0,
4.092,4.164,0.08,
4.068,4.132,0,
4.092,4.164,0.08,
4.076,4.14,0,
4.092,4.148,0.08,
4.076,4.164,0,
4.076,4.14,0.08,
4.148,4.204,0,
3.804,3.964,0.08,
4.204,4.252,0,
3.148,3.628,0,
4.196,4.252,0.08,
4.196,4.236,0.08,
3.156,3.636,0,
4.188,4.244,0.08,
4.108,4.164,0,
4.132,4.164,0.08,
4.108,4.196,0,
4.108,4.188,0.08,
4.132,4.164,0,
4.108,4.164,0.08,
4.14,4.188,0,
4.1,4.18,0.08,
4.132,4.156,0,
4.132,4.188,0.08,
4.076,4.148,0,
4.108,4.164,0.08,
4.132,4.188,0,
4.132,4.164,0.08,
4.1,4.188,0,
4.116,4.156,0.08,
4.1,4.188,0,
4.1,4.156,0.08,
4.124,4.188,0,
4.1,4.156,0,
4.124,4.18,0.08,
4.124,4.188,0.08,
4.1,4.156,0,
4.1,4.18,0.08,
4.124,4.156,0,
4.1,4.156,0,
4.124,4.188,0.08,
4.116,4.156,0.08,
4.1,4.18,0,
4.132,4.18,0.08,
4.092,4.156,0,
4.132,4.188,0.08,
4.1,4.156,0,
4.132,4.164,0,
4.1,4.188,0.08,
4.108,4.164,0.08,
4.14,4.188,0,
4.132,4.196,0.08,
4.108,4.172,0,
4.14,4.196,0.08,
4.108,4.164,0,
4.132,4.172,0.08,
4.108,4.196,0,
4.132,4.196,0.08,
4.108,4.164,0,
4.108,4.196,0.08,
4.14,4.164,0,
4.132,4.196,0.08,
4.108,4.164,0,
4.108,4.172,0.08,
4.132,4.196,0,
4.108,4.164,0.08,
4.14,4.196,0,
4.132,4.164,0,
4.108,4.196,0.08,
4.14,4.188,0.08,
4.108,4.164,0,
4.108,4.196,0.08,
4.14,4.172,0,
4.132,4.196,0.08,
4.108,4.164,0,
4.14,4.164,0.08,
4.108,4.196,0,
4.108,4.196,0.08,
4.14,4.164,0,
4.132,4.164,0,
4.108,4.196,0.08,
4.132,4.164,0.08,
4.108,4.196,0,
4.14,4.196,0.08,
4.108,4.164,0,
4.108,4.164,0.08,
4.132,4.196,0,
4.108,4.196,0.08,
4.14,4.164,0,
3.244,3.716,0,
4.204,4.244,0.08,
4.204,3.748,0.08,
3.26,4.244,0,
4.14,4.196,0.08,
4.108,4.172,0,
4.14,4.196,0.08,
4.108,4.164,0,
4.132,4.164,0.08,
4.108,4.196,0,
4.124,4.196,0.08,
4.14,4.164,0,
4.14,4.196,0.08,
4.108,4.164,0,
4.108,4.196,0.08,
4.14,4.172,0,
4.14,4.196,0.08,
4.108,4.172,0,
4.108,4.196,0,
4.14,4.172,0.08,
4.14,4.196,0.08,
4.116,4.172,0,
4.14,4.196,0.08,
4.108,4.164,0,
4.108,4.18,0.08,
4.14,4.196,0,
4.14,4.196,0.08,
4.108,4.164,0,
4.14,4.196,0.08,
4.108,4.164,0,
4.108,4.196,0.08,
4.14,4.172,0,
4.108,4.196,0,
4.14,4.164,0.08,
4.14,4.196,0,
4.1,4.156,0.08,
4.14,4.196,0.08,
4.108,4.164,0,
4.14,4.196,0.08,
4.108,4.164,0,
4.14,4.196,0.08,
4.108,4.164,0,
4.108,4.196,0.08,
4.14,4.172,0,
4.116,4.196,0.08,
4.14,4.164,0,
4.108,4.196,0.08,
4.14,4.172,0,
4.14,4.164,0.08,
4.108,4.196,0,
4.14,4.196,0.08,
4.108,4.172,0,
4.14,4.196,0,
4.108,4.164,0.08,
4.108,4.196,0,
4.14,4.164,0.08,
4.14,4.196,0,
4.108,4.172,0.08,
4.132,4.196,0,
4.108,4.172,0.08,
4.108,4.196,0,
4.14,4.164,0.08,
4.14,4.196,0.08,
4.108,4.164,0,
4.108,4.164,0,
