CH1,CH2,CH3,Start,Increment,
Volt,Volt,Volt,-5.995,0.01
4.044,4.02,0.12,
4.012,3.996,0,
4.02,4.028,0.12,
4.044,3.996,0,
4.036,4.02,0.04,
4.012,3.996,0.12,
4.02,4.02,0.12,
4.044,3.996,0,
4.02,3.996,0.12,
4.052,4.02,0.04,
4.044,3.988,0.12,
4.02,4.02,0.04,
4.044,4.02,0,
4.012,3.996,0.12,
4.02,4.02,0,
4.044,3.988,0.12,
4.012,4.02,0.04,
4.036,3.996,0.12,
4.036,3.996,0.12,
4.012,4.02,0,
4.044,3.996,0.04,
4.012,4.02,0.12,
4.044,4.02,0,
4.012,3.988,0.12,
4.036,4.02,0.12,
4.012,3.996,0.04,
4.012,4.02,0.12,
4.044,3.996,0,
4.02,4.02,0.12,
4.036,3.996,0,
4.02,4.02,0.04,
4.044,3.996,0.12,
4.02,4.02,0.04,
4.044,3.988,0.12,
4.044,4.02,0.12,
4.012,3.988,0,
4.044,4.02,0,
4.02,3.996,0.12,
4.044,4.02,0.04,
4.012,3.988,0.12,
4.02,4.02,0.04,
4.044,3.996,0.12,
4.02,3.996,0,
4.036,4.02,0.12,
4.044,4.02,0,
4.012,3.996,0.12,
4.012,3.996,0.04,
4.036,4.02,0.12,
4.02,4.02,0.12,
4.036,3.996,0,
4.036,3.996,0.04,
4.012,4.02,0.12,
4.02,4.02,0.04,
4.036,3.996,0.12,
4.036,4.02,0.12,
4.012,3.996,0,
4.012,4.02,0.12,
4.044,3.996,0,
4.036,4.02,0.12,
4.012,3.996,0,
4.02,4.02,0.12,
4.044,3.996,0,
4.02,3.996,0,
4.044,4.02,0.12,
4.044,3.996,0.12,
4.02,4.028,0,
4.02,3.996,0.04,
4.044,4.02,0.12,
4.036,3.996,0.12,
4.012,4.02,0,
4.044,3.996,0.04,
4.02,4.02,0.12,
4.02,4.02,0.12,
4.036,3.996,0,
4.044,4.02,0.04,
4.012,3.988,0.12,
4.02,3.996,0.12,
4.044,4.02,0,
4.036,4.02,0.12,
4.012,3.988,0.04,
4.036,4.02,0.12,
4.012,3.988,0,
4.012,4.02,0.12,
4.044,3.988,0,
4.044,3.988,0.04,
4.012,4.02,0.12,
4.044,3.996,0.12,
4.012,4.028,0.04,
4.044,4.02,0.12,
4.012,3.988,0,
4.012,4.02,0.12,
4.044,3.996,0,
4.012,4.02,0.12,
4.044,3.996,0,
4.012,4.02,0.12,
4.044,3.996,0.04,
4.02,4.02,0,
4.044,3.996,0.12,
4.02,4.02,0.04,
4.036,3.996,0.12,
4.02,3.996,0.12,
4.044,4.02,0,
4.02,4.02,0.12,
4.036,3.996,0,
4.02,3.996,0.12,
4.044,4.02,0,
4.044,4.02,0.12,
4.012,3.996,0.04,
4.012,4.02,0.12,
4.044,3.996,0,
4.02,4.02,0,
4.044,3.996,0.12,
4.044,4.02,0.12,
4.012,3.988,0,
4.036,4.02,0.04,
4.012,3.996,0.12,
4.044,4.02,0.12,
4.012,3.964,0,
4.044,4.02,0.12,
4.012,3.988,0,
4.02,4.02,0.04,
4.044,3.996,0.12,
4.044,3.996,0.12,
3.996,4.02,0,
